Local time in Romulus / Detroit (airport);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td
19.08.2022 10:53;27.0;746.6;763.3;51;Wind blowing from the south;5;;;;Few clouds (10-30%) 2250 m, few clouds (10-30%) 7500 m;16.0;16.0
19.08.2022 9:53;25.0;746.5;763.3;57;Wind blowing from the south;3;;;;Few clouds (10-30%) 7500 m;16.0;16.0
19.08.2022 8:53;23.0;746.4;763.3;69;Wind blowing from the south-southwest;3;;;;Few clouds (10-30%) 7500 m;16.0;17.0
19.08.2022 7:53;21.0;746.3;763.3;73;Wind blowing from the south-west;3;;;;Few clouds (10-30%) 3000 m, few clouds (10-30%) 7500 m;14.0;16.0
19.08.2022 6:53;17.0;745.8;763.0;94;Wind blowing from the south;2;;;;Few clouds (10-30%) 1650 m, scattered clouds (40-50%) 3300 m, broken clouds (60-90%) 7500 m;11.0;16.0
19.08.2022 5:53;16.0;745.5;762.8;88;Wind blowing from the south;3;;Mist;;Scattered clouds (40-50%) 3300 m, broken clouds (60-90%) 7500 m;9.0;14.0
19.08.2022 4:53;17.0;745.3;762.5;88;Wind blowing from the south-southwest;2;;Mist;;Few clouds (10-30%) 3300 m, scattered clouds (40-50%) 7500 m;9.0;15.0
19.08.2022 3:53;17.0;745.1;762.3;94;Calm, no wind;0;;;;Few clouds (10-30%) 3300 m, scattered clouds (40-50%) 7500 m;14.0;16.0
19.08.2022 2:53;18.0;745.1;762.3;88;Wind blowing from the south-west;2;;;;Few clouds (10-30%) 3300 m, scattered clouds (40-50%) 7500 m;14.0;16.0
19.08.2022 1:53;18.0;744.9;762.0;88;Wind blowing from the south;2;;;;Few clouds (10-30%) 3300 m, scattered clouds (40-50%) 7500 m;14.0;16.0
19.08.2022 0:53;19.0;744.9;762.0;88;Calm, no wind;0;;;;Few clouds (10-30%) 3300 m, scattered clouds (40-50%) 7500 m;16.0;17.0
18.08.2022 23:53;19.0;744.6;761.7;88;Calm, no wind;0;;;;Few clouds (10-30%) 3300 m, scattered clouds (40-50%) 7500 m;14.0;17.0
18.08.2022 22:53;19.0;744.4;761.5;88;Calm, no wind;0;;;;Few clouds (10-30%) 2250 m, scattered clouds (40-50%) 3300 m;14.0;17.0
18.08.2022 21:53;21.0;744.5;761.5;78;Wind blowing from the south;2;;;;Few clouds (10-30%) 1650 m, scattered clouds (40-50%) 2250 m, broken clouds (60-90%) 3300 m;16.0;17.0
18.08.2022 20:53;21.0;744.7;761.7;78;Calm, no wind;0;;;;Broken clouds (60-90%) 1650 m, broken clouds (60-90%) 2250 m, overcast (100%) 3300 m;16.0;17.0
18.08.2022 19:53;21.0;744.2;761.2;88;Wind blowing from the south-east;2;;;;Few clouds (10-30%) 1350 m, scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 2700 m;16.0;19.0
18.08.2022 18:53;22.0;744.3;761.2;69;Wind blowing from the south;2;;Light rain;;Few clouds (10-30%) 1200 m, broken clouds (60-90%) 1650 m, broken clouds (60-90%) 3600 m;12.0;16.0
18.08.2022 17:53;24.0;744.4;761.2;54;Wind blowing from the south-west;7;;Light rain;;Scattered clouds (40-50%) 1650 m, scattered clouds (40-50%) 2700 m, overcast (100%) 3600 m;11.0;14.0
18.08.2022 16:53;26.0;744.3;761.0;48;Wind blowing from the west-southwest;7;11;;;Scattered clouds (40-50%) 1650 m, scattered clouds (40-50%) 2400 m, broken clouds (60-90%) 3300 m;16.0;14.0
18.08.2022 15:53;29.0;744.5;761.0;37;Wind blowing from the south-west;4;;;;Scattered clouds (40-50%) 1800 m, scattered clouds (40-50%) 3300 m;16.0;13.0
18.08.2022 14:53;29.0;744.7;761.2;40;Wind blowing from the west-southwest;5;;;;Scattered clouds (40-50%) 1650 m, broken clouds (60-90%) 3300 m;16.0;14.0
18.08.2022 13:53;29.0;745.0;761.5;43;Wind blowing from the west;4;;;;Broken clouds (60-90%) 1650 m, broken clouds (60-90%) 3300 m;16.0;15.0
18.08.2022 12:53;27.0;745.4;762.0;45;variable wind direction;3;;;;Scattered clouds (40-50%) 1800 m, scattered clouds (40-50%) 7500 m;16.0;14.0
18.08.2022 11:53;28.0;745.7;762.3;42;Wind blowing from the south-west;4;;;;Scattered clouds (40-50%) 1350 m, scattered clouds (40-50%) 7500 m;16.0;14.0
18.08.2022 10:53;26.0;745.8;762.5;54;Wind blowing from the south;3;;;;Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 7500 m;16.0;16.0
18.08.2022 9:53;24.0;745.7;762.5;61;Wind blowing from the south;2;;;;Scattered clouds (40-50%) 7500 m;16.0;16.0
18.08.2022 8:53;23.0;745.9;762.8;65;Calm, no wind;0;;;;Scattered clouds (40-50%) 7500 m;16.0;16.0
18.08.2022 7:53;21.0;746.0;763.0;73;Calm, no wind;0;;;;Few clouds (10-30%) 3600 m, scattered clouds (40-50%) 6900 m;16.0;16.0
18.08.2022 6:53;18.0;745.8;763.0;88;Calm, no wind;0;;;;Few clouds (10-30%) 1800 m, scattered clouds (40-50%) 3600 m, scattered clouds (40-50%) 6600 m;12.0;16.0
18.08.2022 5:53;16.0;745.5;762.8;88;Calm, no wind;0;;Ground fog, mist;;Few clouds (10-30%) 1800 m, scattered clouds (40-50%) 3600 m, scattered clouds (40-50%) 6600 m;9.0;14.0
18.08.2022 4:53;16.0;745.5;762.8;88;Calm, no wind;0;;Mist;;Scattered clouds (40-50%) 6600 m;8.0;14.0
18.08.2022 3:53;16.0;745.5;762.8;94;Wind blowing from the north-west;2;;Mist;;Scattered clouds (40-50%) 6600 m;9.0;15.0
18.08.2022 2:53;16.0;745.5;762.8;94;Calm, no wind;0;;Mist;;Scattered clouds (40-50%) 6600 m;8.0;15.0
18.08.2022 0:53;17.0;745.8;763.0;94;Wind blowing from the west-northwest;2;;Mist;;Few clouds (10-30%) 6600 m;8.0;16.0
17.08.2022 23:53;18.0;745.8;763.0;88;Calm, no wind;0;;;;Few clouds (10-30%) 6600 m;12.0;16.0
17.08.2022 22:53;18.0;745.8;763.0;88;Wind blowing from the north-northwest;2;;;;Few clouds (10-30%) 6600 m;16.0;16.0
17.08.2022 21:53;19.0;746.2;763.3;83;Wind blowing from the north-northwest;2;;;;Few clouds (10-30%) 6600 m;16.0;16.0
17.08.2022 20:53;19.0;746.2;763.3;83;Calm, no wind;0;;;;Few clouds (10-30%) 6600 m;16.0;16.0
17.08.2022 19:53;21.0;746.3;763.3;73;Wind blowing from the north-west;2;;;;Few clouds (10-30%) 1350 m, scattered clouds (40-50%) 6600 m;16.0;16.0
17.08.2022 18:53;22.0;746.4;763.3;69;Wind blowing from the north;2;;;;Few clouds (10-30%) 1350 m, scattered clouds (40-50%) 3600 m, scattered clouds (40-50%) 6600 m;16.0;16.0
17.08.2022 17:53;21.0;746.5;763.5;69;Wind blowing from the north-northwest;2;;;;Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 3600 m, broken clouds (60-90%) 6000 m;16.0;15.0
17.08.2022 16:53;22.0;746.5;763.5;73;Wind blowing from the north-west;4;;;;Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 3600 m, broken clouds (60-90%) 6000 m;16.0;17.0
17.08.2022 15:53;21.0;746.8;763.8;78;Wind blowing from the north-west;4;;;;Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 2700 m, overcast (100%) 3300 m;16.0;17.0
17.08.2022 15:17;21.0;747.0;764.0;78;Wind blowing from the north-northwest;3;;Light rain;;Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 2700 m, overcast (100%) 3300 m;16.0;17.0
17.08.2022 14:53;20.0;746.9;764.0;78;Wind blowing from the south-southwest;2;;Light thunderstorm, rain;;Scattered clouds (40-50%) 1200 m, cumulonimbus clouds , broken clouds (60-90%) 2700 m;11.0;16.0
17.08.2022 14:15;27.0;747.1;763.8;45;Wind blowing from the north-east;7;12;Thunderstorm;;Scattered clouds (40-50%) 1200 m, cumulonimbus clouds , broken clouds (60-90%) 2700 m;16.0;14.0
17.08.2022 13:53;27.0;747.1;763.8;45;Wind blowing from the north-northeast;3;;;;Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 2700 m;16.0;14.0
17.08.2022 12:53;27.0;747.6;764.3;42;variable wind direction;3;;;;Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m;16.0;13.0
17.08.2022 11:53;26.0;747.8;764.5;48;Wind blowing from the north-northwest;3;;;;Broken clouds (60-90%) 1500 m, broken clouds (60-90%) 3000 m;16.0;14.0
17.08.2022 10:53;26.0;748.2;765.0;45;variable wind direction;2;;;;Few clouds (10-30%) 2100 m, scattered clouds (40-50%) 7500 m;16.0;13.0
17.08.2022 9:53;24.0;748.1;765.0;57;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 3600 m, scattered clouds (40-50%) 7500 m;16.0;15.0
17.08.2022 8:53;23.0;748.4;765.3;57;Wind blowing from the north-northeast;4;;;;Few clouds (10-30%) 1950 m, scattered clouds (40-50%) 3300 m, scattered clouds (40-50%) 7500 m;16.0;14.0
17.08.2022 7:53;21.0;748.3;765.3;78;Wind blowing from the north-northeast;2;;;;Few clouds (10-30%) 1950 m, scattered clouds (40-50%) 3300 m, scattered clouds (40-50%) 7500 m;16.0;17.0
17.08.2022 6:53;17.0;747.7;765.0;94;Wind blowing from the north;3;;;;Few clouds (10-30%) 1950 m, scattered clouds (40-50%) 3600 m, scattered clouds (40-50%) 7500 m;14.0;16.0
17.08.2022 5:53;16.0;747.5;764.8;94;Wind blowing from the north;2;;;;Few clouds (10-30%) 1950 m, scattered clouds (40-50%) 3600 m, scattered clouds (40-50%) 7500 m;16.0;15.0
17.08.2022 4:53;17.0;747.2;764.5;88;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 1950 m, few clouds (10-30%) 3600 m, scattered clouds (40-50%) 7500 m;16.0;15.0
17.08.2022 3:53;16.0;747.2;764.5;88;Wind blowing from the north;3;;;;Few clouds (10-30%) 7500 m;16.0;14.0
17.08.2022 2:53;17.0;747.2;764.5;83;Wind blowing from the north-northwest;2;;;;Scattered clouds (40-50%) 7500 m;16.0;14.0
17.08.2022 1:53;17.0;747.0;764.3;83;Wind blowing from the north;2;;;;Scattered clouds (40-50%) 7500 m;16.0;14.0
17.08.2022 0:53;19.0;747.2;764.3;73;Calm, no wind;0;;;;Scattered clouds (40-50%) 7500 m;16.0;14.0
16.08.2022 23:53;19.0;747.4;764.5;73;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 3300 m, scattered clouds (40-50%) 7500 m;16.0;14.0
16.08.2022 22:53;20.0;747.4;764.5;64;Wind blowing from the north-northeast;2;;;;Few clouds (10-30%) 3300 m, scattered clouds (40-50%) 7500 m;16.0;13.0
16.08.2022 11:53;27.0;747.6;764.3;42;Wind blowing from the east-northeast;5;8;;;Scattered clouds (40-50%) 1500 m;16.0;13.0
16.08.2022 10:53;27.0;747.6;764.3;48;Wind blowing from the east-northeast;4;;;;Few clouds (10-30%) 1200 m;16.0;15.0
16.08.2022 9:53;24.0;747.4;764.3;61;Wind blowing from the north-east;6;8;;;Few clouds (10-30%) 1200 m;16.0;16.0
16.08.2022 8:53;23.0;747.1;764.0;57;Wind blowing from the east-northeast;4;;;;Few clouds (10-30%) 7500 m;16.0;14.0
16.08.2022 7:53;21.0;747.0;764.0;69;Wind blowing from the north-east;4;;;;Few clouds (10-30%) 6000 m;16.0;15.0
16.08.2022 6:53;18.0;746.6;763.8;78;Wind blowing from the north-northeast;4;;;;Few clouds (10-30%) 6000 m;16.0;14.0
16.08.2022 5:53;17.0;746.3;763.5;83;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 2250 m, scattered clouds (40-50%) 6000 m;16.0;14.0
16.08.2022 4:53;17.0;746.1;763.3;77;Wind blowing from the north;3;;;;Broken clouds (60-90%) 6000 m;16.0;13.0
16.08.2022 3:53;18.0;746.1;763.3;73;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 3300 m, broken clouds (60-90%) 6000 m;16.0;13.0
16.08.2022 2:53;18.0;745.8;763.0;73;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 3300 m, broken clouds (60-90%) 6000 m;16.0;13.0
16.08.2022 1:53;18.0;746.1;763.3;73;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 2250 m, scattered clouds (40-50%) 3300 m, broken clouds (60-90%) 6000 m;16.0;13.0
16.08.2022 0:53;19.0;746.2;763.3;64;Wind blowing from the north;2;;;;Few clouds (10-30%) 2550 m, scattered clouds (40-50%) 3300 m, broken clouds (60-90%) 6000 m;16.0;12.0
15.08.2022 23:53;19.0;746.4;763.5;64;Wind blowing from the north;3;;;;Few clouds (10-30%) 2550 m, scattered clouds (40-50%) 3600 m, broken clouds (60-90%) 6000 m;16.0;12.0
15.08.2022 22:53;21.0;746.5;763.5;57;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 2400 m, broken clouds (60-90%) 6000 m;16.0;12.0
15.08.2022 21:53;21.0;746.5;763.5;57;Wind blowing from the north-northeast;3;;;;Few clouds (10-30%) 2400 m, overcast (100%) 6000 m;16.0;12.0
15.08.2022 20:53;23.0;746.4;763.3;47;Wind blowing from the north-east;4;;;;Few clouds (10-30%) 2400 m, scattered clouds (40-50%) 3600 m, broken clouds (60-90%) 6600 m;16.0;11.0
15.08.2022 19:53;24.0;746.0;762.8;47;Wind blowing from the north-east;3;;;;Scattered clouds (40-50%) 2400 m, broken clouds (60-90%) 3600 m, broken clouds (60-90%) 6600 m;16.0;12.0
15.08.2022 18:53;25.0;745.5;762.3;44;Wind blowing from the east-northeast;4;;;;Scattered clouds (40-50%) 2100 m, broken clouds (60-90%) 3600 m, broken clouds (60-90%) 6000 m;16.0;12.0
15.08.2022 17:53;26.0;745.3;762.0;45;Wind blowing from the east-northeast;3;;Light rain;;Scattered clouds (40-50%) 1950 m, broken clouds (60-90%) 3000 m, broken clouds (60-90%) 6000 m;16.0;13.0
15.08.2022 16:53;27.0;745.4;762.0;39;Wind blowing from the north-east;4;;;;Scattered clouds (40-50%) 1950 m, broken clouds (60-90%) 3300 m, broken clouds (60-90%) 6000 m;16.0;12.0
15.08.2022 15:53;27.0;745.4;762.0;37;Wind blowing from the north-east;4;;;;Scattered clouds (40-50%) 1950 m, broken clouds (60-90%) 3300 m, broken clouds (60-90%) 6000 m;16.0;11.0
15.08.2022 14:53;27.0;745.7;762.3;37;Wind blowing from the north-northeast;4;;;;Scattered clouds (40-50%) 1650 m, broken clouds (60-90%) 2700 m, broken clouds (60-90%) 6000 m;16.0;11.0
15.08.2022 13:53;27.0;745.7;762.3;37;Wind blowing from the east-northeast;4;;;;Scattered clouds (40-50%) 1650 m, broken clouds (60-90%) 2700 m, broken clouds (60-90%) 6000 m;16.0;11.0
15.08.2022 12:53;27.0;745.7;762.3;34;Wind blowing from the north-east;4;;;;Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2550 m, broken clouds (60-90%) 6000 m;16.0;10.0
15.08.2022 11:53;26.0;745.6;762.3;39;Wind blowing from the east-northeast;5;;;;Few clouds (10-30%) 1260 m, broken clouds (60-90%) 2550 m, broken clouds (60-90%) 6000 m;16.0;11.0
15.08.2022 10:53;25.0;745.7;762.5;42;Wind blowing from the north-east;5;;;;Few clouds (10-30%) 1110 m, broken clouds (60-90%) 2550 m, broken clouds (60-90%) 6000 m;16.0;11.0
15.08.2022 9:53;24.0;745.7;762.5;50;Wind blowing from the north-northeast;6;;;;Few clouds (10-30%) 990 m, broken clouds (60-90%) 2550 m, broken clouds (60-90%) 6000 m;16.0;13.0
15.08.2022 8:53;23.0;745.6;762.5;61;Wind blowing from the north-northeast;4;;;;Broken clouds (60-90%) 2400 m, broken clouds (60-90%) 6000 m;16.0;15.0
15.08.2022 7:53;21.0;745.5;762.5;73;Wind blowing from the north-northeast;4;;;;Scattered clouds (40-50%) 1950 m, broken clouds (60-90%) 2400 m, broken clouds (60-90%) 6000 m;16.0;16.0
15.08.2022 6:53;18.0;744.9;762.0;94;Wind blowing from the north;3;;;;Scattered clouds (40-50%) 1950 m, broken clouds (60-90%) 2400 m, broken clouds (60-90%) 6000 m;16.0;17.0
15.08.2022 5:53;18.0;744.6;761.7;88;Wind blowing from the north;3;;;;Scattered clouds (40-50%) 1950 m, broken clouds (60-90%) 2400 m, overcast (100%) 6000 m;16.0;16.0
15.08.2022 4:53;19.0;744.6;761.7;78;Wind blowing from the north;3;;;;Broken clouds (60-90%) 1650 m, broken clouds (60-90%) 2400 m, overcast (100%) 6000 m;16.0;15.0
15.08.2022 3:53;19.0;744.4;761.5;83;Wind blowing from the north-northeast;3;;;;Broken clouds (60-90%) 1650 m, broken clouds (60-90%) 2850 m, overcast (100%) 6000 m;16.0;16.0
15.08.2022 2:53;20.0;744.7;761.7;78;Wind blowing from the north-northeast;3;;;;Overcast (100%) 1650 m;16.0;16.0
15.08.2022 1:53;20.0;744.7;761.7;78;Wind blowing from the north-northeast;3;;;;Overcast (100%) 1500 m;16.0;16.0
15.08.2022 0:53;20.0;745.0;762.0;78;Wind blowing from the north;3;;;;Overcast (100%) 1470 m;16.0;16.0
14.08.2022 23:53;20.0;745.3;762.3;73;Wind blowing from the north-northeast;2;;;;Broken clouds (60-90%) 1500 m, broken clouds (60-90%) 2250 m, overcast (100%) 5400 m;16.0;15.0
14.08.2022 22:53;21.0;745.3;762.3;69;Calm, no wind;0;;;;Overcast (100%) 1950 m;16.0;15.0
14.08.2022 21:53;21.0;745.3;762.3;69;Wind blowing from the east;2;;;;Overcast (100%) 1950 m;16.0;15.0
14.08.2022 20:53;21.0;745.0;762.0;69;Wind blowing from the east-southeast;2;;;;Overcast (100%) 1950 m;16.0;15.0
14.08.2022 19:53;22.0;744.8;761.7;65;Wind blowing from the south-east;2;;;;Few clouds (10-30%) 1050 m, broken clouds (60-90%) 1500 m, overcast (100%) 2700 m;16.0;15.0
14.08.2022 18:53;22.0;744.6;761.5;65;Wind blowing from the east-southeast;2;;;;Few clouds (10-30%) 900 m, few clouds (10-30%) 1350 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 3900 m;16.0;15.0
14.08.2022 17:53;22.0;744.6;761.5;61;Wind blowing from the east-southeast;2;;;;Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 1950 m, broken clouds (60-90%) 3900 m;16.0;14.0
14.08.2022 16:53;22.0;744.8;761.7;61;Wind blowing from the east-southeast;3;;;;Few clouds (10-30%) 900 m, broken clouds (60-90%) 1350 m, overcast (100%) 3600 m;16.0;14.0
14.08.2022 15:53;22.0;744.8;761.7;61;Wind blowing from the east-southeast;2;;;;Few clouds (10-30%) 750 m, scattered clouds (40-50%) 1350 m, overcast (100%) 1950 m;16.0;14.0
14.08.2022 14:53;21.0;745.0;762.0;64;Wind blowing from the east-southeast;2;;;;Few clouds (10-30%) 600 m, overcast (100%) 1200 m;16.0;14.0
14.08.2022 13:53;22.0;745.1;762.0;69;Wind blowing from the south;3;;;;Few clouds (10-30%) 600 m, overcast (100%) 1200 m;16.0;16.0
14.08.2022 12:53;21.0;745.3;762.3;73;Wind blowing from the south;2;;;;Few clouds (10-30%) 630 m, broken clouds (60-90%) 1200 m, overcast (100%) 1800 m;16.0;16.0
14.08.2022 11:53;21.0;745.3;762.3;69;Calm, no wind;0;;;;Scattered clouds (40-50%) 1350 m, overcast (100%) 1800 m;16.0;15.0
14.08.2022 10:53;21.0;745.3;762.3;73;Calm, no wind;0;;;;Few clouds (10-30%) 1050 m, broken clouds (60-90%) 1500 m, overcast (100%) 1950 m;16.0;16.0
14.08.2022 9:53;21.0;745.5;762.5;69;Wind blowing from the east-southeast;2;;;;Few clouds (10-30%) 1200 m, broken clouds (60-90%) 1800 m, overcast (100%) 2250 m;16.0;15.0
14.08.2022 8:53;19.0;745.2;762.3;68;Wind blowing from the south-southwest;3;;;;Broken clouds (60-90%) 1050 m, overcast (100%) 1950 m;16.0;13.0
14.08.2022 7:53;19.0;745.4;762.5;73;Wind blowing from the east-southeast;2;;;;Scattered clouds (40-50%) 840 m, broken clouds (60-90%) 1500 m, broken clouds (60-90%) 2250 m;16.0;14.0
14.08.2022 6:53;18.0;745.3;762.5;73;Calm, no wind;0;;;;Broken clouds (60-90%) 1500 m, overcast (100%) 1950 m;16.0;13.0
14.08.2022 5:53;18.0;745.3;762.5;68;Wind blowing from the east-northeast;2;;;;Few clouds (10-30%) 900 m, overcast (100%) 1650 m;16.0;12.0
14.08.2022 4:53;18.0;745.3;762.5;73;Wind blowing from the east;2;;;;Few clouds (10-30%) 1350 m, overcast (100%) 1800 m;16.0;13.0
14.08.2022 3:53;18.0;745.8;763.0;73;Calm, no wind;0;;;;Overcast (100%) 1350 m;16.0;13.0
14.08.2022 2:53;18.0;746.3;763.5;73;Wind blowing from the west;2;;;;Broken clouds (60-90%) 1200 m, overcast (100%) 1650 m;16.0;13.0
14.08.2022 1:53;18.0;746.6;763.8;68;Calm, no wind;0;;Light rain;;Overcast (100%) 1800 m;16.0;12.0
14.08.2022 0:53;18.0;747.1;764.3;68;Wind blowing from the north;2;;;;Overcast (100%) 1650 m;16.0;12.0
13.08.2022 23:53;18.0;747.1;764.3;68;Wind blowing from the north-northeast;2;;;;Overcast (100%) 1500 m;16.0;12.0
13.08.2022 22:53;18.0;747.1;764.3;68;Wind blowing from the north-east;2;;;;Overcast (100%) 1350 m;16.0;12.0
13.08.2022 21:53;17.0;747.2;764.5;68;Wind blowing from the north-west;2;;;;Overcast (100%) 1350 m;16.0;11.0
13.08.2022 20:53;18.0;747.3;764.5;64;Wind blowing from the west-northwest;3;;;;Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 1500 m, overcast (100%) 1800 m;16.0;11.0
13.08.2022 19:53;18.0;747.3;764.5;64;Wind blowing from the west;4;;;;Few clouds (10-30%) 1350 m, overcast (100%) 1950 m;16.0;11.0
13.08.2022 18:53;19.0;747.4;764.5;64;Wind blowing from the north-northwest;3;;;;Broken clouds (60-90%) 1950 m, overcast (100%) 4800 m;16.0;12.0
13.08.2022 17:53;19.0;747.2;764.3;64;Wind blowing from the south-west;5;;Light drizzle;;Broken clouds (60-90%) 1800 m, overcast (100%) 4800 m;16.0;12.0
13.08.2022 16:53;21.0;748.0;765.0;53;Wind blowing from the west-southwest;4;;;;Scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 2550 m, overcast (100%) 4800 m;16.0;11.0
13.08.2022 15:53;21.0;748.0;765.0;46;Wind blowing from the south-west;4;;;;Scattered clouds (40-50%) 2250 m, broken clouds (60-90%) 3300 m, broken clouds (60-90%) 5100 m, overcast (100%) 7500 m;16.0;9.0
13.08.2022 14:53;22.0;748.6;765.6;50;Wind blowing from the west;3;;;;Few clouds (10-30%) 1500 m, broken clouds (60-90%) 2100 m, overcast (100%) 4500 m;16.0;11.0
13.08.2022 13:53;23.0;748.7;765.6;50;Wind blowing from the south;4;;;;Few clouds (10-30%) 1650 m, scattered clouds (40-50%) 2250 m, broken clouds (60-90%) 4800 m, overcast (100%) 7500 m;16.0;12.0
13.08.2022 12:53;23.0;748.9;765.8;47;Wind blowing from the south-southwest;5;;;;Scattered clouds (40-50%) 2850 m, broken clouds (60-90%) 5100 m, overcast (100%) 7500 m;16.0;11.0
13.08.2022 11:53;22.0;749.3;766.3;47;Wind blowing from the south-southwest;6;;;;Broken clouds (60-90%) 3300 m, overcast (100%) 5400 m;16.0;10.0
13.08.2022 10:53;22.0;749.6;766.6;50;Wind blowing from the south-southwest;5;;;;Scattered clouds (40-50%) 4200 m, broken clouds (60-90%) 5400 m, overcast (100%) 6900 m;16.0;11.0
13.08.2022 9:53;21.0;749.7;766.8;53;Wind blowing from the west-southwest;5;;;;Scattered clouds (40-50%) 4200 m, overcast (100%) 6900 m;16.0;11.0
13.08.2022 8:53;21.0;750.0;767.1;53;Wind blowing from the west-southwest;4;;;;Scattered clouds (40-50%) 4200 m, broken clouds (60-90%) 5400 m, overcast (100%) 6900 m;16.0;11.0
13.08.2022 7:53;19.0;749.9;767.1;60;Wind blowing from the west-southwest;4;;;;Few clouds (10-30%) 1500 m, broken clouds (60-90%) 4800 m, overcast (100%) 6900 m;16.0;11.0
13.08.2022 6:53;18.0;749.5;766.8;68;Wind blowing from the west;2;;;;Broken clouds (60-90%) 5100 m, broken clouds (60-90%) 6900 m;16.0;12.0
13.08.2022 5:53;17.0;749.5;766.8;68;Wind blowing from the south-west;2;;;;Scattered clouds (40-50%) 5400 m, broken clouds (60-90%) 6900 m;16.0;11.0
13.08.2022 4:53;16.0;749.2;766.6;77;Calm, no wind;0;;;;Scattered clouds (40-50%) 5400 m, broken clouds (60-90%) 6900 m;16.0;12.0
13.08.2022 3:53;16.0;749.4;766.8;77;Calm, no wind;0;;;;Few clouds (10-30%) 5400 m, overcast (100%) 6900 m;16.0;12.0
13.08.2022 2:53;17.0;749.5;766.8;68;Calm, no wind;0;;;;Few clouds (10-30%) 1800 m, broken clouds (60-90%) 6900 m;16.0;11.0
13.08.2022 1:53;17.0;749.5;766.8;68;Calm, no wind;0;;;;Few clouds (10-30%) 1500 m, broken clouds (60-90%) 6900 m;16.0;11.0
13.08.2022 0:53;18.0;749.5;766.8;64;Wind blowing from the east-northeast;2;;;;Scattered clouds (40-50%) 1800 m;16.0;11.0
12.08.2022 23:53;18.0;749.8;767.1;64;Calm, no wind;0;;;;Scattered clouds (40-50%) 1800 m;16.0;11.0
12.08.2022 22:53;19.0;749.9;767.1;60;Calm, no wind;0;;;;Broken clouds (60-90%) 6600 m;16.0;11.0
12.08.2022 21:53;20.0;749.7;766.8;60;Calm, no wind;0;;;;Broken clouds (60-90%) 6600 m;16.0;12.0
12.08.2022 20:53;21.0;749.5;766.6;53;Calm, no wind;0;;;;Scattered clouds (40-50%) 6600 m;16.0;11.0
12.08.2022 19:53;22.0;749.3;766.3;50;Wind blowing from the south;3;;;;Few clouds (10-30%) 1500 m, scattered clouds (40-50%) 6600 m;16.0;11.0
12.08.2022 18:53;23.0;749.3;766.3;47;Wind blowing from the south;4;;;;Few clouds (10-30%) 1500 m, broken clouds (60-90%) 6600 m;16.0;11.0
12.08.2022 17:53;25.0;749.3;766.1;36;Wind blowing from the south;4;;;;Few clouds (10-30%) 1500 m, scattered clouds (40-50%) 7500 m;16.0;9.0
12.08.2022 16:53;27.0;749.6;766.3;30;Calm, no wind;0;;;;Few clouds (10-30%) 1350 m, scattered clouds (40-50%) 7500 m;16.0;8.0
12.08.2022 15:53;27.0;749.6;766.3;32;variable wind direction;3;;;;Few clouds (10-30%) 1350 m, few clouds (10-30%) 7500 m;16.0;9.0
12.08.2022 14:53;27.0;750.1;766.8;30;Calm, no wind;0;;;;Few clouds (10-30%) 1350 m, few clouds (10-30%) 7500 m;16.0;8.0
12.08.2022 13:53;27.0;750.5;767.3;32;variable wind direction;3;;;;Few clouds (10-30%) 1350 m, few clouds (10-30%) 7500 m;16.0;9.0
12.08.2022 12:53;26.0;750.8;767.6;34;Calm, no wind;0;;;;Few clouds (10-30%) 1350 m, few clouds (10-30%) 7500 m;16.0;9.0
12.08.2022 11:53;26.0;751.3;768.1;37;variable wind direction;3;;;;Few clouds (10-30%) 1200 m, few clouds (10-30%) 7500 m;16.0;10.0
12.08.2022 10:53;23.0;751.1;768.1;47;Wind blowing from the north;4;;;;Few clouds (10-30%) 1050 m, few clouds (10-30%) 7500 m;16.0;11.0
12.08.2022 9:53;23.0;750.8;767.8;53;Wind blowing from the north-east;2;;;;Few clouds (10-30%) 1200 m, few clouds (10-30%) 7500 m;16.0;13.0
12.08.2022 8:53;21.0;751.0;768.1;60;Wind blowing from the east-northeast;4;;;;Few clouds (10-30%) 1200 m, few clouds (10-30%) 7500 m;16.0;13.0
